Date,Purchase Bid,Sell Bid,MCV,Final_Volume,MCP,Month,DayOfWeek,MCP_Rolling,YearMonth,Quarter,IsWeekend,WeekOfYear,Day,MCP_lag1,MCP_lag7,MCP_roll7,MCP_vol30,MCP_Capped
2022-07-23,0.0567187173765165,0.15857411923846124,0.22538176449891167,0.22538181890592612,3491.8,7,5,0.3205529272229672,2022-07,3,1,29,23,0.30526606601188533,0.30420229574018176,0.3205529272229672,0.44828320721828724,0.1417021398165872
2022-07-24,0.05014359200943519,0.17069916710897906,0.22798209334578823,0.22798209334578823,3197.23,7,6,0.3054087949677869,2022-07,3,1,29,24,0.22070905831012289,0.22688135363246945,0.3054087949677869,0.45642945746016556,0.08159096567233015
2022-07-25,0.07322686584164721,0.165617022420199,0.2870948792498883,0.28709493365690275,4113.87,7,0,0.27052230786940784,2022-07,3,0,30,25,0.18749224749382626,0.4031237966378959,0.27052230786940784,0.45231677205670134,0.2686443202827512
2022-07-26,0.1231729449479086,0.19093382782738394,0.3975837192014813,0.3975836647944669,5542.05,7,1,0.2508467666260536,2022-07,3,0,30,26,0.29085598944531527,0.4712831817395683,0.2508467666260536,0.4439486865180055,0.5600846458058698
2022-07-27,0.13379448349860507,0.15406646555450296,0.34383541051153316,0.34383541051153316,6194.41,7,2,0.2581581746013845,2022-07,3,0,30,27,0.45190288787902716,0.412429637656025,0.2581581746013845,0.3735310013835325,0.6932079291162797
2022-07-28,0.1159294805503799,0.13296864397100222,0.28313894523188626,0.28313894523188626,6236.07,7,3,0.3102500147883605,2022-07,3,0,30,28,0.5254654322797443,0.21531856667689078,0.3102500147883605,0.3011460989148162,0.7017092412487093
2022-07-29,0.1282977165472913,0.156339525706748,0.38419703652609477,0.38419703652609477,6687.52,7,4,0.36229355342385644,2022-07,3,0,30,29,0.5301631691117603,0.2586725679783135,0.36229355342385644,0.31890955062142595,0.7938339979022208
2022-07-30,0.07664838470744927,0.14116724783154952,0.2672942080523143,0.2672942080523143,4315.6,7,5,0.3798225481855852,2022-07,3,1,30,30,0.5810703532887542,0.18702170088873224,0.3798225481855852,0.3077304185378325,0.3098101795356317
2022-07-31,0.07537712146135804,0.21053352951847296,0.38213223592208984,0.38213223592208984,3087.21,7,6,0.3774815188050495,2022-07,3,1,30,31,0.31360381592449355,0.15887485225221612,0.3774815188050495,0.31630345136828864,0.05913982883099811
2022-08-01,0.07202026426296902,0.18421282952272813,0.29111218438014874,0.29111218438014874,3844.55,8,0,0.37175086953431774,2022-08,3,0,31,1,0.17508598234120054,0.24646193625322135,0.37175086953431774,0.31921260747685437,0.21368576570987796
2022-08-02,0.11230892266695479,0.17413521993563516,0.27452283280131434,0.27452283280131434,5932.2,8,1,0.38005256570606855,2022-08,3,0,31,2,0.260486462714674,0.38292785703843213,0.38005256570606855,0.3191386513668869,0.6397002705890514
2022-08-03,0.14340920272580293,0.1435052192861638,0.2912684413255442,0.2912684413255442,7018.37,8,2,0.39758496498243906,2022-08,3,0,31,3,0.4958976556421331,0.44526237235403665,0.39758496498243906,0.33982297687154384,0.8613486190979548
2022-08-04,0.10836354024184931,0.1294385656089242,0.21703866646666647,0.21703861205965208,6337.87,8,3,0.39975108742325466,2022-08,3,0,31,4,0.6183782320903013,0.4492430822504866,0.39975108742325466,0.33480309788333107,0.7224829708473967
2022-08-05,0.08272692828846671,0.15883501859951582,0.25413402177793093,0.25413402177793093,4725.6,8,4,0.35800492888607266,2022-08,3,0,31,5,0.5416425164353131,0.492380179772146,0.35800492888607266,0.3185864656944424,0.3934764775264161
2022-08-06,0.08363501593496366,0.19298884476962802,0.29934157175226983,0.29934157175226983,4580.53,8,5,0.3636421667863213,2022-08,3,1,31,6,0.3598369436519661,0.2657377069543939,0.3636421667863213,0.2973830968824388,0.36387289252757915
2022-08-07,0.07722456228089418,0.23459768832989564,0.3424505887736676,0.3424505887736676,3265.89,8,6,0.3674441585124995,2022-08,3,1,31,7,0.3434783098972723,0.14836218535813492,0.3674441585124995,0.30610448788713057,0.09560200962366483
2022-08-08,0.0696120754816603,0.16577862880920546,0.2783556981527132,0.27755232417788417,3698.87,8,0,0.3643443479311828,2022-08,3,0,32,8,0.1952346049322854,0.2207277838453505,0.3643443479311828,0.30450974518219537,0.1839577015847621
2022-08-09,0.09019810085363013,0.21036583153608931,0.39575820064686673,0.3957582550538812,3660.13,8,1,0.3159987505431265,2022-08,3,0,32,9,0.2440590430870198,0.42020759698322196,0.3159987505431265,0.294449378725265,0.1760522567453402
2022-08-10,0.09305684024167192,0.22004944044683633,0.41519554180218776,0.41518874092538605,3546.62,8,2,0.24212610237120197,2022-08,3,0,32,10,0.23969057633540447,0.5239936667918402,0.24212610237120197,0.3000920265884512,0.15288893605037934
2022-08-11,0.06773545020074004,0.21896836178689721,0.34811201947248804,0.34811207387950255,2598.96,8,3,0.16256876587620922,2022-08,3,0,32,11,0.2268907657784644,0.4589703090257772,0.16256876587620922,0.3175910396414601,0.0
2022-08-12,0.08370582169951019,0.18347628421762216,0.3678465861475498,0.3678465861475498,3905.8,8,4,0.14512488398052442,2022-08,3,0,32,12,0.12002909304135051,0.30491416056803955,0.14512488398052442,0.3188986580809139,0.22618469437313538
2022-08-13,0.0944298180248248,0.19342622117410985,0.39811054232204673,0.39702158592856157,4226.0,8,5,0.13758111788089394,2022-08,3,1,32,13,0.26739324094225375,0.291052384651621,0.13758111788089394,0.3158801347582683,0.2915260324625236
2022-08-14,0.06566263993441354,0.19029926296199248,0.33424813287368116,0.33424813287368116,2975.9,8,6,0.13141064787488071,2022-08,3,1,32,14,0.3035001860601482,0.16543547494761343,0.13141064787488071,0.32846610617425465,0.036425449247207364
2022-08-15,0.06502283131630056,0.20746703932884974,0.3026215530231992,0.3026215530231992,2635.74,8,0,0.108789137555584,2022-08,3,0,33,15,0.16253425198182253,0.20680772101014097,0.108789137555584,0.34661977807213523,0.0
2022-08-16,0.11319654650606352,0.2357791528654004,0.5003480688747102,0.5003480688747102,4170.81,8,1,0.11965549716340101,2022-08,3,0,33,16,0.12417654288968327,0.2031060239052809,0.11965549716340101,0.34537291076223,0.28026373249639835
2022-08-17,0.09465777393831165,0.19637523319380898,0.38566858304493534,0.38566858304493534,4497.12,8,2,0.1398804419570681,2022-08,3,0,33,17,0.2972767560131258,0.19225987939385428,0.1398804419570681,0.3378926299848515,0.34685190248999065
2022-08-18,0.10956476078061865,0.16988701438019158,0.35136126078027385,0.35136131518728825,5706.64,8,3,0.20600632984384776,2022-08,3,0,33,18,0.3340726874978857,0.10170876224383618,0.20600632984384776,0.32573667816390117,0.5936715628456336
2022-08-19,0.06307344803351879,0.11859690896427236,0.22435102361084885,0.22435102361084885,5190.61,8,4,0.2333447951992939,2022-08,3,0,33,19,0.47046266956845334,0.22658036380592564,0.2333447951992939,0.31860127165996205,0.48836834393786643
2022-08-20,0.06482299951195059,0.14916619076093407,0.2683466029321137,0.26834665733912816,3940.66,8,5,0.22727326890005667,2022-08,3,1,33,20,0.41227320395575157,0.257176218554924,0.22727326890005667,0.3176840324770544,0.23329837034376644
2022-08-21,0.06275729459666396,0.18183298732187128,0.29696491014164705,0.29696496454866145,3243.55,8,6,0.23296838354921495,2022-08,3,1,33,21,0.27132418443635054,0.1377262559636596,0.23296838354921495,0.324733824207227,0.09104321670387439
2022-08-22,0.10040072098799697,0.20639271517097893,0.4475635804450962,0.44756363485211054,3837.38,8,0,0.2585371396374447,2022-08,3,0,34,22,0.19271546328976902,0.10522317678995782,0.2585371396374447,0.3220690345561487,0.21222262581574636
2022-08-23,0.08453923874616696,0.1922074187544931,0.35220462391069673,0.35220462391069673,4291.09,8,1,0.2610964835193829,2022-08,3,0,34,23,0.25967794679807404,0.2519026856892238,0.2610964835193829,0.31416138738253513,0.30480856742891427
2022-08-24,0.08908524630540822,0.14098709791564487,0.27421733741538284,0.27421733741538284,5631.77,8,2,0.28523981188354347,2022-08,3,0,34,24,0.3108399769962,0.28308236514939134,0.28523981188354347,0.3201019308863876,0.5783932805759507
2022-08-25,0.1337705512492867,0.13752689371289337,0.25466068167745315,0.25466062727043876,6346.61,8,3,0.2988572321040623,2022-08,3,0,34,25,0.46202004939051217,0.3986548143561637,0.2988572321040623,0.3315781641978528,0.7242664914435905
2022-08-26,0.20062602800283258,0.12721651359298752,0.31891052347545695,0.31891057788247135,8049.61,8,4,0.35969165310889634,2022-08,3,0,34,26,0.5426280714019915,0.34934694762872576,0.35969165310889634,0.37655368477930956,0.9999999999999999
